continent,location,date,population,new_vaccinations,RollingPeoplevaccinated
Asia,Afghanistan,04/12/2020,41128772,,
Asia,Afghanistan,05/12/2020,41128772,,
Asia,Afghanistan,06/12/2020,41128772,,
Asia,Afghanistan,07/12/2020,41128772,,
Asia,Afghanistan,08/12/2020,41128772,,
Asia,Afghanistan,09/12/2020,41128772,,
Asia,Afghanistan,10/12/2020,41128772,,
Asia,Afghanistan,11/12/2020,41128772,,
Asia,Afghanistan,12/12/2020,41128772,,
Asia,Afghanistan,13/12/2020,41128772,,
Asia,Afghanistan,14/12/2020,41128772,,
Asia,Afghanistan,15/12/2020,41128772,,
Asia,Afghanistan,16/12/2020,41128772,,
Asia,Afghanistan,17/12/2020,41128772,,
Asia,Afghanistan,18/12/2020,41128772,,
Asia,Afghanistan,19/12/2020,41128772,,
Asia,Afghanistan,20/12/2020,41128772,,
Asia,Afghanistan,21/12/2020,41128772,,
Asia,Afghanistan,22/12/2020,41128772,,
Asia,Afghanistan,23/12/2020,41128772,,
Asia,Afghanistan,24/12/2020,41128772,,
Asia,Afghanistan,25/12/2020,41128772,,
Asia,Afghanistan,26/12/2020,41128772,,
Asia,Afghanistan,27/12/2020,41128772,,
Asia,Afghanistan,28/12/2020,41128772,,
Asia,Afghanistan,29/12/2020,41128772,,
Asia,Afghanistan,30/12/2020,41128772,,
Asia,Afghanistan,31/12/2020,41128772,,
Asia,Afghanistan,01/01/2021,41128772,,
Asia,Afghanistan,02/01/2021,41128772,,
Asia,Afghanistan,03/01/2021,41128772,,
Asia,Afghanistan,04/01/2021,41128772,,
Asia,Afghanistan,05/01/2021,41128772,,
Asia,Afghanistan,06/01/2021,41128772,,
Asia,Afghanistan,07/01/2021,41128772,,
Asia,Afghanistan,08/01/2021,41128772,,
Asia,Afghanistan,09/01/2021,41128772,,
Asia,Afghanistan,10/01/2021,41128772,,
Asia,Afghanistan,11/01/2021,41128772,,
Asia,Afghanistan,12/01/2021,41128772,,
Asia,Afghanistan,13/01/2021,41128772,,
Asia,Afghanistan,14/01/2021,41128772,,
Asia,Afghanistan,15/01/2021,41128772,,
Asia,Afghanistan,16/01/2021,41128772,,
Asia,Afghanistan,17/01/2021,41128772,,
Asia,Afghanistan,18/01/2021,41128772,,
Asia,Afghanistan,19/01/2021,41128772,,
Asia,Afghanistan,20/01/2021,41128772,,
Asia,Afghanistan,21/01/2021,41128772,,
Asia,Afghanistan,22/01/2021,41128772,,
Asia,Afghanistan,23/01/2021,41128772,,
Asia,Afghanistan,24/01/2021,41128772,,
Asia,Afghanistan,25/01/2021,41128772,,
Asia,Afghanistan,26/01/2021,41128772,,
Asia,Afghanistan,27/01/2021,41128772,,
Asia,Afghanistan,28/01/2021,41128772,,
Asia,Afghanistan,29/01/2021,41128772,,
